"Date","Price","Open","High","Low","Vol.","Change %"
"11/02/2023","930.60","931.50","942.10","919.90","","-0.46%"
"11/01/2023","934.90","941.95","942.70","925.60","","-1.06%"
"10/31/2023","944.90","943.00","951.80","937.60","","0.53%"
"10/30/2023","939.90","911.40","943.60","907.00","","3.24%"
"10/29/2023","910.40","912.20","913.00","909.30","","0.99%"
"10/27/2023","901.50","909.30","913.80","902.30","0.03K","-0.83%"
"10/26/2023","909.00","913.00","920.40","900.60","","-0.37%"
"10/25/2023","912.40","892.50","917.00","885.00","26.65K","2.30%"
"10/24/2023","891.90","902.80","908.80","886.90","","-1.45%"
"10/23/2023","905.00","903.70","907.80","894.50","","0.38%"
"10/22/2023","901.60","905.25","905.25","900.60","","-0.39%"
"10/20/2023","905.10","899.90","913.20","893.70","","0.77%"
"10/19/2023","898.20","891.50","903.20","882.00","","0.44%"
"10/18/2023","894.30","904.30","914.70","885.80","","-1.31%"
"10/17/2023","906.20","899.50","909.50","894.50","","0.76%"
"10/16/2023","899.40","888.70","900.60","879.10","","1.03%"
"10/15/2023","890.20","887.90","891.05","886.00","","0.68%"
"10/13/2023","884.20","872.30","891.30","867.90","23.66K","0.96%"
"10/12/2023","875.80","895.90","902.60","871.10","24.15K","-1.93%"
"10/11/2023","893.00","887.90","896.00","879.00","","0.31%"
"10/10/2023","890.20","893.40","899.30","885.50","","0.16%"
"10/09/2023","888.80","884.60","896.90","877.50","","0.79%"
"10/08/2023","881.85","884.85","890.20","877.65","","0.04%"
"10/06/2023","881.50","867.60","888.90","856.80","","2.20%"
"10/05/2023","862.50","872.80","879.40","860.70","","-1.34%"
"10/04/2023","874.20","877.10","884.80","865.80","","-0.61%"
"10/03/2023","879.60","886.10","890.40","875.00","26.10K","-0.81%"
"10/02/2023","886.80","916.20","921.60","884.80","","-3.50%"
"10/01/2023","919.00","915.25","919.50","915.25","","0.34%"
"09/29/2023","915.90","916.10","935.50","912.10","","0.09%"
"09/28/2023","915.10","897.30","917.70","894.10","","2.10%"
"09/27/2023","896.30","913.50","918.80","890.90","","-1.96%"
"09/26/2023","914.20","922.40","923.00","907.90","","-1.02%"
"09/25/2023","923.60","939.90","941.10","920.20","","-1.58%"
"09/24/2023","938.40","941.00","941.10","937.55","","0.46%"
"09/22/2023","934.10","924.50","947.10","924.30","","1.03%"
"09/21/2023","924.60","933.30","933.50","916.90","","-1.88%"
"09/20/2023","942.30","946.50","949.60","931.50","29.06K","-0.64%"
"09/19/2023","948.40","939.20","955.00","934.00","27.70K","1.08%"
"09/18/2023","938.30","930.70","941.20","930.70","27.48K","0.64%"
"09/17/2023","932.35","931.35","932.55","930.90","","0.31%"
"09/15/2023","929.50","910.50","934.10","909.20","31.24K","2.02%"
"09/14/2023","911.10","904.00","914.00","900.20","22.77K","0.65%"
"09/13/2023","905.20","914.30","914.70","898.10","24.90K","-0.83%"
"09/12/2023","912.80","902.90","916.40","894.50","29.48K","1.16%"
"09/11/2023","902.30","896.60","908.90","894.80","26.25K","0.44%"
"09/10/2023","898.35","896.25","898.50","894.80","","0.40%"
"09/08/2023","894.80","910.70","915.00","893.30","26.14K","-1.63%"
"09/07/2023","909.60","915.30","918.70","903.50","23.25K","-0.62%"
"09/06/2023","915.30","933.20","935.10","909.50","25.47K","-1.95%"
"09/05/2023","933.50","969.10","972.50","932.00","33.15K","-2.71%"
"09/04/2023","959.55","968.80","972.45","956.10","","-0.99%"
"09/03/2023","969.10","968.95","970.45","966.60","","0.04%"
"09/01/2023","968.70","977.20","995.00","967.40","22.06K","-0.58%"
"08/31/2023","974.40","984.50","989.10","973.10","22.61K","-0.91%"
"08/30/2023","983.30","987.30","993.30","978.50","25.73K","0.03%"
"08/29/2023","983.00","983.40","983.50","983.40","0.00K","1.43%"
"08/28/2023","969.10","958.00","967.40","958.00","0.00K","1.85%"
"08/27/2023","951.50","950.50","953.20","950.25","","0.68%"
"08/25/2023","945.10","942.00","942.00","942.00","0.00K","0.55%"
"08/24/2023","939.90","940.00","940.00","940.00","0.00K","0.51%"
"08/23/2023","935.10","933.20","935.00","933.20","0.00K","1.49%"
"08/22/2023","921.40","915.10","932.40","912.80","","1.21%"
"08/21/2023","910.40","912.30","912.30","907.60","0.00K","-0.73%"
"08/20/2023","917.05","916.20","918.35","915.30","","0.09%"
"08/18/2023","916.25","900.10","917.50","896.60","","1.79%"
"08/17/2023","900.15","886.60","913.65","884.20","","0.99%"
"08/16/2023","891.30","893.20","898.70","885.00","","-0.10%"
"08/15/2023","892.20","904.60","906.20","882.60","","-1.61%"
"08/14/2023","906.80","915.50","919.00","893.60","","-1.17%"
"08/13/2023","917.55","916.30","918.85","915.55","","0.32%"
"08/11/2023","914.60","911.50","923.10","907.30","","-0.02%"
"08/10/2023","914.80","892.90","917.00","891.40","","2.48%"
"08/09/2023","892.70","905.20","910.70","891.00","","-1.30%"
"08/08/2023","904.45","924.35","925.90","899.75","","-2.42%"
"08/07/2023","926.90","928.00","933.90","916.70","","-0.39%"
"08/06/2023","930.50","927.45","930.80","926.50","","0.22%"
"08/04/2023","928.50","920.20","931.50","914.10","","0.73%"
"08/03/2023","921.80","927.80","931.60","918.50","","-0.92%"
"08/02/2023","930.40","939.80","943.90","925.70","","-1.06%"
"08/01/2023","940.40","960.20","962.60","928.50","","-1.90%"
"07/31/2023","958.60","943.70","967.30","931.60","","1.53%"
"07/30/2023","944.20","944.80","946.05","943.85","","0.05%"
"07/28/2023","943.70","942.80","949.50","935.00","","-0.14%"
"07/27/2023","945.00","973.80","982.50","940.20","","-2.78%"
"07/26/2023","972.00","978.70","979.10","959.60","","-0.47%"
"07/25/2023","976.60","968.20","986.10","966.30","","0.73%"
"07/24/2023","969.50","971.60","976.50","963.10","","-0.05%"
"07/23/2023","969.95","970.90","973.25","968.95","","-0.23%"
"07/21/2023","972.20","965.70","974.60","960.40","","0.84%"
"07/20/2023","964.10","983.10","987.00","961.60","16.77K","-2.10%"
"07/19/2023","984.80","994.10","998.00","980.10","","-0.97%"
"07/18/2023","994.40","987.40","1,003.70","983.80","","0.70%"
"07/17/2023","987.50","982.30","991.30","973.00","","0.98%"
"07/16/2023","977.90","982.60","983.15","974.75","","-0.65%"
"07/14/2023","984.30","983.00","986.30","971.50","","0.09%"
"07/13/2023","983.40","960.50","986.90","957.70","","2.80%"
"07/12/2023","956.60","932.40","964.00","931.30","","2.60%"
"07/11/2023","932.40","934.70","943.50","928.10","","-0.26%"
"07/10/2023","934.80","918.40","937.00","909.80","","1.61%"
"07/09/2023","919.95","917.90","920.00","916.85","","0.16%"
"07/07/2023","918.50","908.70","924.60","906.00","","0.97%"
"07/06/2023","909.70","924.00","931.00","899.00","","-1.65%"
"07/05/2023","925.00","918.60","935.50","915.10","","-0.15%"
"07/04/2023","926.40","919.45","935.45","918.20","","1.14%"
"07/03/2023","916.00","910.20","924.30","900.50","","0.66%"
"07/02/2023","910.00","913.00","913.55","908.90","","-0.35%"
"06/30/2023","913.20","903.90","917.30","894.20","","0.71%"
"06/29/2023","906.80","922.30","930.30","897.00","","-1.94%"
"06/28/2023","924.70","931.50","932.20","909.10","","-1.00%"
"06/27/2023","934.00","933.70","942.00","922.70","","0.12%"
"06/26/2023","932.90","926.90","943.80","925.30","","0.40%"
"06/25/2023","929.20","925.65","929.55","925.30","","0.60%"
"06/23/2023","923.70","923.60","931.60","919.40","20.91K","-0.30%"
"06/22/2023","926.50","946.70","950.40","923.40","32.81K","-2.37%"
"06/21/2023","949.00","965.00","966.50","946.00","28.75K","-1.96%"
"06/20/2023","968.00","988.40","989.00","956.30","33.82K","-1.21%"
"06/19/2023","979.90","985.10","986.95","976.95","","-0.54%"
"06/18/2023","985.20","985.60","988.80","985.00","","-0.21%"
"06/16/2023","987.30","994.80","1,002.60","977.90","21.28K","-0.46%"
"06/15/2023","991.90","981.30","995.70","965.50","24.11K","1.21%"
"06/14/2023","980.00","980.80","986.80","971.70","21.21K","-0.19%"
"06/13/2023","981.90","996.80","1,003.00","978.70","21.77K","-1.35%"
"06/12/2023","995.30","1,012.00","1,013.60","991.80","21.40K","-1.63%"
