"Date","Price","Open","High","Low","Vol.","Change %"
"01/09/2024","185,600","187,600","187,600","185,500","0.03K","-0.05%"
"01/08/2024","185,700","187,600","188,900","185,500","321.88K","-0.85%"
"01/07/2024","187,300","187,300","187,300","187,300","","0.00%"
"01/05/2024","187,300","190,100","190,500","187,200","437.61K","-1.42%"
"01/04/2024","190,000","192,600","192,600","189,100","0.01K","-1.96%"
"01/03/2024","193,800","199,200","199,200","193,800","0.04K","-3.34%"
"01/02/2024","200,500","203,500","203,500","199,800","0.02K","-1.47%"
"12/28/2023","203,500","198,800","203,500","198,400","744.87K","2.52%"
"12/27/2023","198,500","198,700","199,300","197,200","0.32K","-0.15%"
"12/26/2023","198,800","199,900","200,000","197,700","0.14K","-0.10%"
"12/25/2023","199,000","199,000","199,000","199,000","","0.00%"
"12/22/2023","199,000","200,000","200,500","198,500","345.94K","0.15%"
"12/21/2023","198,700","197,500","202,000","197,100","541.22K","-0.20%"
"12/20/2023","199,100","192,700","199,700","192,700","0.05K","3.59%"
"12/19/2023","192,200","192,000","192,900","191,000","0.01K","0.10%"
"12/18/2023","192,000","192,800","192,800","190,000","0.10K","-0.41%"
"12/17/2023","192,800","192,800","192,800","192,800","","0.00%"
"12/15/2023","192,800","185,800","192,800","185,200","1.20M","4.33%"
"12/14/2023","184,800","187,000","187,100","184,200","756.49K","-0.11%"
"12/13/2023","185,000","185,300","186,200","184,400","286.19K","-0.32%"
"12/12/2023","185,600","185,500","186,400","185,000","0.27K","0.11%"
"12/11/2023","185,400","184,600","185,400","184,000","0.01K","0.16%"
"12/10/2023","185,100","185,100","185,100","185,100","","0.00%"
"12/08/2023","185,100","183,600","185,700","183,400","326.72K","1.37%"
"12/07/2023","182,600","181,400","183,300","181,400","295.42K","-0.16%"
"12/06/2023","182,900","181,100","183,400","181,100","0.01K","0.83%"
"12/05/2023","181,400","181,600","182,000","180,700","0.02K","-0.11%"
"12/04/2023","181,600","183,500","184,100","181,600","0.17K","-0.66%"
"12/03/2023","182,800","182,800","182,800","182,800","","0.00%"
"12/01/2023","182,800","183,300","183,800","181,700","297.55K","-0.81%"
"11/30/2023","184,300","183,400","184,700","182,200","0.12K","-0.27%"
"11/29/2023","184,800","185,700","186,500","184,700","283.94K","-0.48%"
"11/28/2023","185,700","185,900","185,900","183,600","269.10K","0.43%"
"11/27/2023","184,900","185,100","185,700","184,000","0.02K","0.49%"
"11/26/2023","184,000","184,000","184,000","184,000","","0.00%"
"11/24/2023","184,000","184,600","185,600","183,900","160.95K","-0.43%"
"11/23/2023","184,800","183,600","185,000","182,400","240.05K","0.98%"
"11/22/2023","183,000","182,300","183,400","181,200","218.51K","-0.65%"
"11/21/2023","184,200","184,700","184,800","183,700","0.08K","0.33%"
"11/20/2023","183,600","184,400","184,900","182,100","277.01K","-0.43%"
"11/19/2023","184,400","184,400","184,400","184,400","","0.00%"
"11/17/2023","184,400","185,900","185,900","183,500","259.42K","-0.22%"
"11/16/2023","184,800","182,500","186,400","181,800","421.76K","1.26%"
"11/15/2023","182,500","178,700","182,600","178,600","803.24K","4.17%"
"11/14/2023","175,200","174,900","175,900","173,900","327.98K","1.10%"
"11/13/2023","173,300","174,800","174,800","172,800","0.05K","-0.23%"
"11/10/2023","173,700","173,800","175,300","173,500","248.41K","-0.57%"
"11/09/2023","174,700","174,700","175,700","174,200","374.38K","-0.06%"
"11/08/2023","174,800","177,900","179,000","174,500","393.64K","-0.74%"
"11/07/2023","176,100","176,700","176,900","174,200","0.34K","-1.01%"
"11/06/2023","177,900","175,700","177,900","174,900","1.10K","2.60%"
"11/03/2023","173,400","175,000","175,400","172,700","430.11K","0.81%"
"11/02/2023","172,000","172,000","175,100","171,500","657.82K","1.00%"
"11/01/2023","170,300","170,800","171,500","169,400","448.00K","0.35%"
"10/31/2023","169,700","174,300","175,900","169,300","683.09K","-1.62%"
"10/30/2023","172,500","174,900","176,300","171,400","0.03K","-1.77%"
"10/29/2023","175,600","175,600","175,600","175,600","","0.00%"
"10/27/2023","175,600","181,200","182,900","174,600","782.58K","-2.17%"
"10/26/2023","179,500","180,300","182,500","178,500","633.94K","-1.37%"
"10/25/2023","182,000","182,700","183,700","182,000","0.23K","-0.44%"
"10/24/2023","182,800","186,900","187,000","181,400","416.79K","-1.40%"
"10/23/2023","185,400","184,200","186,100","183,800","285.78K","1.04%"
"10/22/2023","183,500","183,500","183,500","183,500","","0.00%"
"10/20/2023","183,500","187,800","188,600","183,500","596.69K","-2.86%"
"10/19/2023","188,900","189,900","190,700","188,800","0.08K","-1.51%"
"10/18/2023","191,800","189,800","193,000","189,500","0.05K","1.75%"
"10/17/2023","188,500","187,600","189,300","187,200","0.10K","0.91%"
"10/16/2023","186,800","186,900","188,300","186,500","290.44K","-0.16%"
"10/15/2023","187,100","187,100","187,100","187,100","","0.00%"
"10/13/2023","187,100","187,500","188,400","187,100","253.07K","-0.48%"
