"Date","Price","Open","High","Low","Vol.","Change %"
"11/29/2022","169,000","168,000","169,500","167,000","0.22K","0.90%"
"11/28/2022","167,500","165,500","169,500","164,000","0.02K","0.90%"
"11/27/2022","166,000","166,000","166,000","166,000","","0.00%"
"11/25/2022","166,000","168,000","168,500","166,000","353.50K","-0.90%"
"11/24/2022","167,500","168,000","168,500","166,500","320.51K","0.90%"
"11/23/2022","166,000","166,500","167,500","164,000","447.50K","0.30%"
"11/22/2022","165,500","167,500","168,000","165,000","450.13K","-1.49%"
"11/21/2022","168,000","169,500","170,000","166,500","513.75K","-0.88%"
"11/20/2022","169,500","169,500","169,500","169,500","","0.00%"
"11/18/2022","169,500","170,000","173,000","169,500","531.61K","-0.29%"
"11/17/2022","170,000","171,000","172,500","169,500","493.94K","-1.16%"
"11/16/2022","172,000","175,000","175,500","170,500","633.18K","-1.43%"
"11/15/2022","174,500","176,500","177,000","173,000","834.94K","-0.85%"
"11/14/2022","176,000","175,000","179,500","174,000","0.09K","2.33%"
"11/13/2022","172,000","172,000","172,000","172,000","","0.00%"
"11/11/2022","172,000","174,500","175,500","171,000","973.01K","1.47%"
"11/10/2022","169,500","167,000","173,000","166,500","1.01M","0.00%"
"11/09/2022","169,500","170,500","172,000","167,000","949.73K","-0.29%"
"11/08/2022","170,000","171,500","172,000","167,500","800.85K","0.29%"
"11/07/2022","169,500","166,500","170,000","166,000","0.05K","3.99%"
"11/06/2022","163,000","163,000","163,000","163,000","","0.00%"
"11/04/2022","163,000","162,000","164,000","161,500","515.34K","0.62%"
"11/03/2022","162,000","162,500","163,000","160,500","0.12K","-1.82%"
"11/02/2022","165,000","164,500","165,000","162,000","0.01K","0.30%"
"11/01/2022","164,500","163,500","165,000","162,000","621.53K","0.00%"
"10/31/2022","164,500","166,000","166,500","162,000","612.14K","0.30%"
"10/30/2022","164,000","164,000","164,000","164,000","","0.00%"
"10/28/2022","164,000","162,000","166,000","161,500","749.14K","1.23%"
"10/27/2022","162,000","160,500","163,500","160,500","0.16K","0.93%"
"10/26/2022","160,500","163,000","164,000","160,000","0.94K","-1.23%"
"10/25/2022","162,500","162,500","163,000","160,000","963.62K","0.62%"
"10/24/2022","161,500","169,000","169,500","161,500","1.43M","-3.29%"
"10/23/2022","167,000","167,000","167,000","167,000","","0.00%"
"10/21/2022","167,000","169,000","169,500","165,500","693.07K","-0.89%"
"10/20/2022","168,500","168,500","169,500","166,500","684.39K","0.30%"
"10/19/2022","168,000","166,000","172,500","166,000","0.09K","0.00%"
"10/18/2022","168,000","170,500","171,500","165,000","3.71K","0.60%"
"10/17/2022","167,000","166,000","168,500","164,000","656.59K","0.00%"
"10/16/2022","167,000","167,000","167,000","167,000","","0.00%"
"10/14/2022","167,000","167,000","168,000","165,000","653.06K","1.52%"
"10/13/2022","164,500","167,500","168,000","164,500","0.05K","-2.08%"
"10/12/2022","168,000","167,000","169,500","165,500","0.30K","0.00%"
"10/11/2022","168,000","170,000","170,500","166,000","0.02K","-4.27%"
"10/10/2022","175,500","175,500","175,500","175,500","","0.00%"
"10/07/2022","175,500","176,500","176,500","174,000","539.22K","-1.40%"
"10/06/2022","178,000","178,500","179,500","175,000","600.32K","0.56%"
"10/05/2022","177,000","183,500","184,000","172,000","1.14M","-1.39%"
"10/04/2022","179,500","179,000","183,000","177,500","822.99K","1.70%"
"10/03/2022","176,500","176,500","176,500","176,500","","0.00%"
"09/30/2022","176,500","181,000","183,000","174,000","993.94K","-2.75%"
"09/29/2022","181,500","182,500","184,000","181,000","708.61K","1.11%"
"09/28/2022","179,500","184,000","184,500","177,500","1.16M","-3.49%"
"09/27/2022","186,000","182,500","186,000","182,000","864.57K","1.92%"
"09/26/2022","182,500","187,000","187,500","180,500","1.39M","-4.20%"
"09/25/2022","190,500","190,500","190,500","190,500","","0.00%"
"09/23/2022","190,500","194,000","195,500","190,500","677.31K","-1.55%"
"09/22/2022","193,500","194,500","197,000","192,500","0.27K","-1.78%"
"09/21/2022","197,000","196,500","197,000","194,500","0.01K","-0.76%"
"09/20/2022","198,500","202,500","202,500","198,500","690.46K","-1.49%"
"09/19/2022","201,500","201,500","202,000","198,000","677.15K","0.25%"
"09/18/2022","201,000","201,000","201,000","201,000","","0.00%"
"09/16/2022","201,000","199,500","202,500","199,000","904.01K","1.52%"
"09/15/2022","198,000","199,000","201,000","198,000","0.01K","-0.25%"
"09/14/2022","198,500","197,000","200,000","196,000","665.35K","-1.00%"
"09/13/2022","200,500","200,500","201,500","198,000","908.30K","0.25%"
"09/12/2022","200,000","200,000","200,000","200,000","","0.00%"
"09/08/2022","200,000","202,500","203,000","198,500","852.65K","-0.99%"
"09/07/2022","202,000","201,000","203,000","199,000","0.00K","0.50%"
"09/06/2022","201,000","200,500","201,000","198,000","0.85K","0.50%"
"09/05/2022","200,000","197,500","201,000","197,500","0.03K","1.78%"
"09/04/2022","196,500","196,500","196,500","196,500","","0.00%"
"09/02/2022","196,500","199,000","203,500","196,000","1.40M","0.51%"
"09/01/2022","195,500","193,500","197,000","191,000","0.01K","-0.26%"
"08/31/2022","196,000","195,000","197,000","194,500","0.02K","0.26%"
"08/30/2022","195,500","190,500","196,000","190,500","1.00K","3.71%"
"08/29/2022","188,500","188,500","189,000","186,500","598.99K","-2.58%"
"08/28/2022","193,500","193,500","193,500","193,500","","0.00%"
"08/26/2022","193,500","192,500","194,000","191,500","472.18K","0.78%"
"08/25/2022","192,000","189,000","192,500","188,500","546.35K","2.13%"
"08/24/2022","188,000","190,000","191,000","185,500","697.52K","-0.53%"
"08/23/2022","189,000","189,000","193,000","188,000","708.89K","0.00%"
"08/22/2022","189,000","187,000","192,000","187,000","0.06K","-0.53%"
"08/21/2022","190,000","190,000","190,000","190,000","","0.00%"
"08/19/2022","190,000","187,000","191,500","186,500","765.89K","2.15%"
"08/18/2022","186,000","186,500","187,500","184,000","0.71K","-2.11%"
"08/17/2022","190,000","195,000","196,500","188,000","0.12K","-3.80%"
"08/16/2022","197,500","198,000","199,500","196,000","503.08K","0.77%"
"08/15/2022","196,000","196,000","196,000","196,000","","0.00%"
"08/12/2022","196,000","193,500","197,500","193,500","623.50K","1.55%"
"08/11/2022","193,000","195,000","195,000","192,500","726.48K","0.26%"
"08/10/2022","192,500","193,000","194,500","192,000","505.71K","-0.52%"
"08/09/2022","193,500","196,000","196,000","191,000","0.09K","-1.28%"
"08/08/2022","196,000","194,000","196,000","193,000","1.27K","0.77%"
"08/05/2022","194,500","196,000","197,500","193,500","915.83K","-1.02%"
"08/04/2022","196,500","198,000","198,500","194,500","0.08K","-0.25%"
"08/03/2022","197,000","197,000","198,000","196,000","679.12K","0.25%"
"08/02/2022","196,500","196,500","197,000","193,500","709.97K","0.26%"
"08/01/2022","196,000","196,500","198,000","195,000","0.04K","0.00%"
"07/29/2022","196,000","196,000","197,000","194,000","841.74K","0.51%"
"07/28/2022","195,000","198,000","198,000","194,000","0.01K","-0.51%"
"07/27/2022","196,000","196,000","197,000","193,000","601.29K","0.00%"
"07/26/2022","196,000","196,000","196,500","192,500","733.76K","0.00%"
"07/25/2022","196,000","193,000","198,500","193,000","0.44K","2.62%"
"07/22/2022","191,000","191,000","193,000","188,000","1.37M","1.06%"
"07/21/2022","189,000","189,000","193,500","185,500","2.13M","0.00%"
"07/20/2022","189,000","191,500","191,500","188,500","0.36K","0.27%"
"07/19/2022","188,500","185,000","189,000","184,500","811.45K","1.62%"
"07/18/2022","185,500","187,000","188,500","183,500","694.59K","1.09%"
"07/15/2022","183,500","183,000","184,500","178,500","763.86K","0.55%"
"07/14/2022","182,500","183,000","184,500","180,500","772.22K","-0.54%"
"07/13/2022","183,500","180,000","185,000","179,000","0.23K","2.51%"
"07/12/2022","179,000","179,500","181,000","177,000","0.33K","0.00%"
"07/11/2022","179,000","179,500","182,000","179,000","0.59K","0.56%"
"07/10/2022","178,000","178,000","178,000","178,000","","0.00%"
"07/08/2022","178,000","177,500","180,500","177,000","822.67K","1.71%"
"07/07/2022","175,000","175,000","177,000","172,500","534.47K","1.45%"
"07/06/2022","172,500","176,500","177,000","172,000","0.01K","-2.82%"
"07/05/2022","177,500","180,000","180,500","173,500","0.91K","-0.28%"
"07/04/2022","178,000","181,000","183,000","175,000","1.00M","-1.11%"
"07/03/2022","180,000","180,000","180,000","180,000","","0.00%"
"07/01/2022","180,000","181,500","185,000","179,500","908.54K","-0.28%"
"06/30/2022","180,500","176,000","184,500","175,500","0.85K","2.85%"
"06/29/2022","175,500","180,000","181,000","172,500","0.15K","-5.65%"
"06/28/2022","186,000","183,500","189,000","183,500","1.02M","1.64%"
"06/27/2022","183,000","177,500","185,000","176,500","0.22K","5.78%"
"06/24/2022","173,000","170,500","175,000","170,500","471.36K","1.17%"
"06/23/2022","171,000","172,000","174,000","170,000","0.13K","-0.29%"
"06/22/2022","171,500","174,500","174,500","171,000","0.18K","-0.58%"
"06/21/2022","172,500","171,500","175,000","170,000","528.67K","1.17%"
"06/20/2022","170,500","172,500","173,000","168,500","0.22K","0.29%"
"06/19/2022","170,000","170,000","170,000","170,000","","0.00%"
"06/17/2022","170,000","168,000","172,000","168,000","776.95K","-1.73%"
"06/16/2022","173,000","177,000","177,500","172,500","0.01K","-0.57%"
"06/15/2022","174,000","173,500","178,500","171,500","0.03K","1.46%"
"06/14/2022","171,500","172,000","172,500","169,000","0.53K","-2.00%"
"06/13/2022","175,000","180,000","181,500","173,000","1.19M","-5.15%"
"06/12/2022","184,500","184,500","184,500","184,500","","0.00%"
"06/10/2022","184,500","181,500","185,000","180,500","568.93K","1.10%"
"06/09/2022","182,500","183,000","183,500","180,500","0.04K","-0.27%"
"06/08/2022","183,000","184,000","185,000","182,000","0.01K","-0.27%"
"06/07/2022","183,500","186,000","186,500","183,000","619.91K","-1.87%"
"06/06/2022","187,000","187,000","187,000","187,000","","0.00%"
"06/03/2022","187,000","188,500","189,000","185,000","398.01K","-0.27%"
"06/02/2022","187,500","189,000","189,000","186,500","387.00K","-1.06%"
"06/01/2022","189,500","189,500","189,500","189,500","","0.00%"
"05/31/2022","189,500","187,000","189,500","187,000","904.75K","1.07%"
"05/30/2022","187,500","187,500","188,000","185,500","366.08K","1.08%"
"05/27/2022","185,500","186,500","186,500","184,500","334.08K","0.82%"
"05/26/2022","184,000","183,500","186,000","183,000","427.28K","0.27%"
"05/25/2022","183,500","186,000","186,000","182,000","480.06K","-0.81%"
"05/24/2022","185,000","187,000","188,000","183,500","0.32K","-1.60%"
"05/23/2022","188,000","188,500","189,000","186,500","0.26K","0.80%"
"05/20/2022","186,500","183,500","186,500","183,000","465.30K","2.47%"
"05/19/2022","182,000","181,500","183,500","181,000","539.42K","-1.89%"
"05/18/2022","185,500","187,000","187,500","183,500","537.91K","0.00%"
"05/17/2022","185,500","185,500","186,500","182,500","526.33K","0.82%"
"05/16/2022","184,000","188,500","189,500","183,500","546.67K","-1.34%"
"05/15/2022","186,500","186,500","186,500","186,500","","0.00%"
"05/13/2022","186,500","182,000","187,000","181,500","921.44K","3.32%"
"05/12/2022","180,500","181,500","183,500","180,000","0.04K","-1.37%"
"05/11/2022","183,000","179,000","184,500","178,000","0.00K","1.39%"
"05/10/2022","180,500","180,500","181,500","176,000","770.25K","-0.55%"
"05/09/2022","181,500","182,000","183,500","180,500","501.89K","-0.55%"
"05/06/2022","182,500","181,500","183,500","181,000","372.48K","-0.82%"
"05/05/2022","184,000","184,000","184,000","184,000","","0.00%"
"05/04/2022","184,000","183,500","184,500","182,000","346.64K","0.27%"
"05/03/2022","183,500","185,500","186,500","182,500","660.02K","-1.87%"
"05/02/2022","187,000","184,500","188,000","184,500","0.14K","0.54%"
"05/01/2022","186,000","186,000","186,000","186,000","","0.00%"
"04/29/2022","186,000","187,000","188,000","184,000","761.55K","-1.33%"
"04/28/2022","188,500","187,500","188,500","186,000","0.34K","0.80%"
"04/27/2022","187,000","184,000","188,500","183,000","1.15M","0.00%"
"04/26/2022","187,000","187,000","191,000","186,500","2.31M","2.75%"
"04/25/2022","182,000","177,000","184,500","176,500","0.01K","1.11%"
"04/22/2022","180,000","181,500","182,500","179,000","851.03K","-1.64%"
"04/21/2022","183,000","184,000","184,500","182,500","0.02K","0.00%"
"04/20/2022","183,000","181,000","184,000","180,000","811.80K","1.10%"
"04/19/2022","181,000","179,000","181,500","178,000","0.00K","1.40%"
"04/18/2022","178,500","176,000","178,500","175,500","272.81K","0.85%"
"04/17/2022","177,000","177,000","177,000","177,000","","0.00%"
"04/15/2022","177,000","176,500","178,000","175,500","556.80K","-0.28%"
"04/14/2022","177,500","181,500","182,000","176,500","0.12K","-1.93%"
"04/13/2022","181,000","179,000","181,000","178,500","0.09K","1.69%"
"04/12/2022","178,000","179,000","180,500","176,500","0.00K","-0.84%"
"04/11/2022","179,500","176,500","181,000","176,000","0.19K","1.70%"
"04/10/2022","176,500","176,500","176,500","176,500","","0.00%"
"04/08/2022","176,500","178,000","179,000","175,500","456.87K","-1.12%"
"04/07/2022","178,500","180,000","182,000","178,500","773.71K","-0.83%"
"04/06/2022","180,000","177,000","182,000","176,500","637.92K","0.56%"
"04/05/2022","179,000","178,500","180,000","177,000","0.04K","0.56%"
"04/04/2022","178,000","177,000","179,000","174,500","507.98K","0.00%"
"04/03/2022","178,000","178,000","178,000","178,000","","0.00%"
"04/01/2022","178,000","178,000","178,500","177,000","460.81K","-1.39%"
"03/31/2022","180,500","180,000","181,000","179,000","0.02K","-0.28%"
"03/30/2022","181,000","179,500","182,500","179,500","0.15K","2.55%"
"03/29/2022","176,500","176,000","178,000","174,000","542.93K","1.15%"
"03/28/2022","174,500","172,500","175,500","171,500","0.00K","0.29%"
"03/27/2022","174,000","174,000","174,000","174,000","","0.00%"
"03/25/2022","174,000","176,500","176,500","173,000","561.34K","-1.14%"
"03/24/2022","176,000","174,000","177,000","173,500","704.28K","0.00%"
"03/23/2022","176,000","175,000","177,500","174,000","0.12K","1.44%"
"03/22/2022","173,500","169,000","174,500","169,000","1.06M","2.97%"
"03/21/2022","168,500","171,500","172,000","168,500","0.87K","-1.46%"
"03/20/2022","171,000","171,000","171,000","171,000","","0.00%"
"03/18/2022","171,000","171,500","171,500","169,500","756.63K","1.48%"
"03/17/2022","168,500","173,000","173,000","168,500","0.01K","0.30%"
"03/16/2022","168,000","164,500","168,500","163,000","0.00K","3.07%"
"03/15/2022","163,000","164,000","165,500","162,000","0.78K","-0.91%"
"03/14/2022","164,500","166,500","166,500","163,000","0.05K","-2.66%"
"03/13/2022","169,000","169,000","169,000","169,000","","0.00%"
"03/11/2022","169,000","169,000","169,500","165,500","771.29K","0.00%"
"03/10/2022","169,000","171,500","172,000","167,500","1.08M","0.60%"
"03/09/2022","168,000","168,000","168,000","168,000","","0.00%"
"03/08/2022","168,000","164,000","170,500","163,500","724.54K","0.00%"
"03/07/2022","168,000","170,000","171,000","165,500","0.04K","-2.61%"
"03/06/2022","172,500","172,500","172,500","172,500","","0.00%"
"03/04/2022","172,500","176,500","177,500","172,500","862.58K","-2.82%"
"03/03/2022","177,500","173,500","179,000","173,000","0.28K","4.11%"
"03/02/2022","170,500","172,000","172,500","169,500","0.11K","-2.57%"
"03/01/2022","175,000","175,000","175,000","175,000","","0.00%"
"02/28/2022","175,000","171,000","175,000","168,000","1.23M","0.57%"
"02/27/2022","174,000","174,000","174,000","174,000","","0.00%"
"02/25/2022","174,000","175,000","175,500","171,500","944.79K","0.58%"
"02/24/2022","173,000","178,500","179,000","171,000","0.79K","-4.16%"
"02/23/2022","180,500","182,000","183,000","179,500","0.04K","-0.55%"
"02/22/2022","181,500","181,000","183,000","180,500","0.40K","-1.89%"
"02/21/2022","185,000","180,500","185,500","179,500","0.01K","0.82%"
"02/20/2022","183,500","183,500","183,500","183,500","","0.00%"
"02/18/2022","183,500","181,000","184,000","180,500","425.07K","0.00%"
"02/17/2022","183,500","182,500","186,000","181,000","0.02K","0.82%"
"02/16/2022","182,000","185,000","185,000","181,500","0.00K","0.83%"
"02/15/2022","180,500","177,000","183,000","176,500","952.24K","2.27%"
"02/14/2022","176,500","179,500","181,000","176,000","0.29K","-3.55%"
"02/13/2022","183,000","183,000","183,000","183,000","","0.00%"
"02/11/2022","183,000","183,000","184,500","181,000","996.54K","-1.35%"
"02/10/2022","185,500","186,000","187,000","182,500","0.02K","0.27%"
"02/09/2022","185,000","186,000","186,000","182,500","990.14K","0.27%"
"02/08/2022","184,500","186,500","188,000","183,500","1.06M","-1.07%"
"02/07/2022","186,500","189,500","190,000","184,500","822.87K","-1.84%"
"02/06/2022","190,000","190,000","190,000","190,000","","0.00%"
"02/04/2022","190,000","190,500","192,000","188,000","831.95K","-0.78%"
"02/03/2022","191,500","194,500","195,000","191,500","0.33K","1.06%"
"01/28/2022","189,500","186,500","190,500","180,000","1.41M","1.61%"
"01/27/2022","186,500","190,000","191,500","185,500","0.68K","-1.84%"
"01/26/2022","190,000","193,500","194,500","189,500","0.69K","-2.31%"
"01/25/2022","194,500","196,500","197,000","190,000","1.17M","-1.27%"
"01/24/2022","197,000","197,500","200,000","195,000","655.60K","-1.50%"
"01/23/2022","200,000","200,000","200,000","200,000","","0.00%"
"01/21/2022","200,000","199,500","201,000","198,500","511.87K","-0.99%"
"01/20/2022","202,000","200,500","202,500","199,500","0.16K","0.75%"
"01/19/2022","200,500","200,500","203,500","200,000","522.38K","-0.99%"
"01/18/2022","202,500","206,000","206,000","201,500","577.58K","-1.22%"
"01/17/2022","205,000","208,500","209,000","202,500","721.98K","-1.91%"
"01/16/2022","209,000","209,000","209,000","209,000","","0.00%"
"01/14/2022","209,000","209,500","211,000","208,000","404.24K","-0.48%"
"01/13/2022","210,000","211,500","213,000","210,000","497.33K","-0.71%"
"01/12/2022","211,500","211,500","213,000","210,500","467.91K","0.48%"
"01/11/2022","210,500","209,500","211,000","209,000","0.07K","0.48%"
"01/10/2022","209,500","214,500","215,000","209,000","0.18K","-2.56%"
"01/09/2022","215,000","215,000","215,000","215,000","","0.00%"
"01/07/2022","215,000","214,500","216,500","213,500","575.22K","0.47%"
"01/06/2022","214,000","210,000","216,500","210,000","0.14K","0.23%"
"01/05/2022","213,500","214,000","217,500","212,000","1.17M","1.67%"
"01/04/2022","210,000","212,000","212,500","208,500","0.06K","-0.24%"
"01/03/2022","210,500","211,500","212,500","209,000","467.14K","0.72%"
"12/30/2021","209,000","211,500","212,000","208,500","578.79K","-1.42%"
"12/29/2021","212,000","213,000","215,000","211,500","0.10K","-0.93%"
"12/28/2021","214,000","215,000","215,000","211,500","0.18K","0.23%"
"12/27/2021","213,500","216,500","217,000","213,500","0.68K","-0.93%"
"12/26/2021","215,500","215,500","215,500","215,500","","0.00%"
"12/24/2021","215,500","210,500","216,500","210,500","1.01M","3.11%"
"12/23/2021","209,000","208,000","209,000","207,000","0.00K","1.21%"
"12/22/2021","206,500","207,000","209,500","205,500","0.01K","0.73%"
"12/21/2021","205,000","206,000","207,500","204,000","0.00K","0.00%"
"12/20/2021","205,000","209,000","209,000","204,500","0.23K","-2.15%"
"12/19/2021","209,500","209,500","209,500","209,500","","0.00%"
"12/17/2021","209,500","208,500","211,500","208,000","616.65K","0.00%"
"12/16/2021","209,500","211,000","212,000","208,000","0.01K","0.24%"
"12/15/2021","209,000","210,000","211,500","208,500","0.00K","-0.95%"
"12/14/2021","211,000","208,000","212,000","207,500","0.01K","0.96%"
"12/13/2021","209,000","210,000","214,000","209,000","0.21K","0.72%"
"12/12/2021","207,500","207,500","207,500","207,500","","0.00%"
"12/10/2021","207,500","207,000","209,500","205,500","442.54K","0.24%"
"12/09/2021","207,000","207,000","210,000","206,500","773.27K","-0.24%"
"12/08/2021","207,500","209,500","211,000","207,000","0.26K","0.00%"
"12/07/2021","207,500","206,000","208,000","204,000","0.02K","0.48%"
"12/06/2021","206,500","204,500","208,000","202,500","0.09K","0.24%"
"12/05/2021","206,000","206,000","206,000","206,000","","0.00%"
"12/03/2021","206,000","205,500","208,000","204,500","512.81K","0.24%"
"12/02/2021","205,500","199,000","206,000","198,000","0.03K","2.24%"
"12/01/2021","201,000","197,000","202,000","196,500","0.01K","2.81%"
"11/30/2021","195,500","202,500","203,500","194,500","0.63K","-2.49%"
"11/29/2021","200,500","199,500","203,500","199,500","895.46K","-2.43%"
"11/28/2021","205,500","205,500","205,500","205,500","","0.00%"
"11/26/2021","205,500","209,500","210,000","204,000","885.85K","-2.14%"
"11/25/2021","210,000","212,500","212,500","210,000","0.02K","-0.94%"
"11/24/2021","212,000","215,500","216,000","211,000","0.02K","-1.40%"
"11/23/2021","215,000","219,000","219,000","213,500","0.85K","-1.60%"
"11/22/2021","218,500","209,500","220,000","208,000","1.34K","4.30%"
"11/21/2021","209,500","209,500","209,500","209,500","","0.00%"
"11/19/2021","209,500","211,500","212,500","208,000","824.85K","2.20%"
"11/18/2021","205,000","205,500","206,500","204,000","524.37K","-0.97%"
"11/17/2021","207,000","206,500","209,000","203,000","713.46K","0.24%"
"11/16/2021","206,500","208,000","208,000","205,000","0.31K","-1.20%"
"11/15/2021","209,000","208,500","210,000","207,500","0.05K","0.48%"
"11/14/2021","208,000","208,000","208,000","208,000","","0.00%"
"11/12/2021","208,000","205,000","209,500","205,000","413.88K","1.46%"
"11/11/2021","205,000","205,500","206,500","203,500","0.25K","-1.68%"
"11/10/2021","208,500","211,000","211,500","207,000","0.05K","-2.11%"
"11/09/2021","213,000","215,500","217,000","212,000","0.25K","-0.93%"
"11/08/2021","215,000","214,500","216,000","212,500","0.11K","0.00%"
"11/07/2021","215,000","215,000","215,000","215,000","","0.00%"
"11/05/2021","215,000","216,500","217,000","214,000","679.68K","0.47%"
"11/04/2021","214,000","210,500","216,000","210,000","0.02K","2.64%"
"11/03/2021","208,500","211,000","212,000","207,000","474.68K","-0.71%"
"11/02/2021","210,000","208,000","211,500","207,500","0.00K","0.96%"
"11/01/2021","208,000","208,500","209,500","207,000","0.16K","0.00%"
"10/31/2021","208,000","208,000","208,000","208,000","","0.00%"
"10/29/2021","208,000","211,500","212,500","206,500","616.26K","-0.95%"
"10/28/2021","210,000","212,500","214,000","209,500","0.00K","-1.64%"
"10/27/2021","213,500","214,500","215,000","212,500","0.50K","0.00%"
"10/26/2021","213,500","213,000","214,500","209,000","0.43K","1.18%"
"10/25/2021","211,000","207,500","212,000","206,000","0.00K","1.69%"
"10/24/2021","207,500","207,500","207,500","207,500","","0.00%"
"10/22/2021","207,500","207,000","209,500","206,000","359.41K","0.00%"
"10/21/2021","207,500","210,000","211,000","206,000","0.07K","-0.72%"
"10/20/2021","209,000","210,000","211,000","208,000","0.17K","0.00%"
"10/19/2021","209,000","210,500","212,000","208,000","426.63K","-0.24%"
"10/18/2021","209,500","208,500","210,500","205,000","0.14K","0.48%"
"10/17/2021","208,500","208,500","208,500","208,500","","0.00%"
"10/15/2021","208,500","210,500","211,500","208,000","528.28K","-0.24%"
"10/14/2021","209,000","211,000","212,000","208,000","0.05K","-0.95%"
"10/13/2021","211,000","206,500","211,500","206,500","0.08K","3.18%"
"10/12/2021","204,500","205,000","206,500","202,000","817.53K","-0.24%"
"10/11/2021","205,000","205,000","205,000","205,000","","0.00%"
"10/08/2021","205,000","203,500","206,500","202,500","990.16K","1.99%"
"10/07/2021","201,000","195,000","203,000","195,000","0.01K","3.61%"
"10/06/2021","194,000","195,000","197,500","192,500","0.38K","0.26%"
"10/05/2021","193,500","190,500","195,000","189,000","0.01K","0.00%"
"10/04/2021","193,500","193,500","193,500","193,500","","0.00%"
"10/01/2021","193,500","198,000","199,000","192,000","1.18M","-3.25%"
"09/30/2021","200,000","200,500","201,000","199,000","0.08K","-0.74%"
"09/29/2021","201,500","198,000","201,500","197,500","0.20K","0.00%"
"09/28/2021","201,500","204,000","204,000","200,500","0.05K","-1.23%"
"09/27/2021","204,000","205,000","206,000","203,500","580.64K","-1.45%"
"09/26/2021","207,000","207,000","207,000","207,000","","0.00%"
"09/24/2021","207,000","209,500","210,500","206,000","409.94K","-0.72%"
"09/23/2021","208,500","205,000","209,000","204,500","0.03K","-0.24%"
"09/22/2021","209,000","209,000","209,000","209,000","","0.00%"
"09/17/2021","209,000","208,000","210,000","207,000","693.21K","0.48%"
"09/16/2021","208,000","210,000","211,000","206,500","413.00K","-0.72%"
"09/15/2021","209,500","208,500","211,500","208,000","0.03K","0.24%"
"09/14/2021","209,000","206,500","211,500","206,000","0.42K","1.95%"
"09/13/2021","205,000","206,000","206,500","204,000","0.08K","-0.73%"
"09/12/2021","206,500","206,500","206,500","206,500","","0.00%"
"09/10/2021","206,500","208,500","209,500","204,000","675.19K","-0.96%"
"09/09/2021","208,500","212,500","212,500","208,000","0.22K","-2.11%"
"09/08/2021","213,000","211,000","214,500","210,500","0.06K","0.24%"
"09/07/2021","212,500","214,500","214,500","211,500","0.39K","-1.16%"
"09/06/2021","215,000","214,500","215,500","213,500","0.04K","0.23%"
"09/05/2021","214,500","214,500","214,500","214,500","","0.00%"
"09/03/2021","214,500","213,000","215,500","212,000","604.50K","1.42%"
"09/02/2021","211,500","214,000","214,500","210,000","0.07K","-1.63%"
"09/01/2021","215,000","213,500","218,000","213,500","0.15K","1.18%"
"08/31/2021","212,500","210,500","212,500","208,000","0.15K","1.19%"
"08/30/2021","210,000","211,000","212,500","210,000","408.40K","0.72%"
"08/29/2021","208,500","208,500","208,500","208,500","","0.00%"
"08/27/2021","208,500","209,000","209,500","205,000","500.56K","-0.71%"
"08/26/2021","210,000","209,500","212,000","208,000","0.61K","0.24%"
"08/25/2021","209,500","210,000","212,500","207,500","474.70K","0.00%"
"08/24/2021","209,500","206,000","211,000","206,000","740.47K","2.70%"
"08/23/2021","204,000","203,000","206,000","201,500","844.40K","1.24%"
"08/22/2021","201,500","201,500","201,500","201,500","","0.00%"
"08/20/2021","201,500","207,000","208,000","200,000","1.30M","-2.42%"
"08/19/2021","206,500","212,500","212,500","205,000","0.84K","-2.82%"
"08/18/2021","212,500","211,000","214,000","209,000","668.60K","-0.23%"
"08/17/2021","213,000","216,000","217,000","211,000","0.13K","-1.84%"
"08/16/2021","217,000","217,000","217,000","217,000","","0.00%"
"08/13/2021","217,000","221,500","221,500","214,000","859.83K","-0.91%"
"08/12/2021","219,000","220,000","224,000","219,000","0.12K","0.23%"
"08/11/2021","218,500","219,000","220,500","218,000","487.46K","-0.23%"
"08/10/2021","219,000","221,000","221,000","218,500","0.12K","-0.90%"
"08/09/2021","221,000","220,500","222,000","220,000","0.24K","-0.67%"
"08/08/2021","222,500","222,500","222,500","222,500","","0.00%"
"08/06/2021","222,500","224,500","225,000","222,500","380.63K","-0.22%"
"08/05/2021","223,000","223,000","224,500","222,500","469.27K","-0.89%"
"08/04/2021","225,000","224,500","225,000","222,500","1.18K","0.67%"
"08/03/2021","223,500","219,000","223,500","218,000","0.10K","1.59%"
"08/02/2021","220,000","218,000","220,500","217,000","0.26K","0.92%"
"08/01/2021","218,000","218,000","218,000","218,000","","0.00%"
"07/30/2021","218,000","222,000","222,000","218,000","900.63K","-1.80%"
"07/29/2021","222,000","223,000","224,000","222,000","0.33K","-0.22%"
"07/28/2021","222,500","225,000","225,000","221,000","0.09K","-1.11%"
"07/27/2021","225,000","225,500","226,500","224,000","0.51K","0.22%"
"07/26/2021","224,500","225,500","226,500","224,000","711.93K","-0.44%"
"07/25/2021","225,500","225,500","225,500","225,500","","0.00%"
"07/23/2021","225,500","229,000","229,000","224,000","1.57M","-1.31%"
"07/22/2021","228,500","228,500","231,500","227,500","784.76K","0.22%"
"07/21/2021","228,000","232,000","232,000","227,500","0.00K","0.44%"
"07/20/2021","227,000","225,500","229,500","225,000","0.00K","-0.22%"
"07/19/2021","227,500","228,000","228,500","227,000","0.08K","-1.09%"
"07/18/2021","230,000","230,000","230,000","230,000","","0.00%"
